Date,Open,High,Low,Close,Volume,MarketCap,UsdPrice,AtoRate,AudPrice
9/10/2017,4614.52,4878.71,4564.25,4772.02,1968740000.00,76656500000.00,4772.02,0.8135,5866.035648
8/10/2017,4429.67,4624.14,4405.64,4610.48,1313870000.00,73575400000.00,4610.48,0.8147,5659.113784
7/10/2017,4369.35,4443.88,4321.05,4426.89,906928000.00,72565100000.00,4426.89,0.8147,5433.767031
6/10/2017,4324.46,4413.27,4320.53,4370.81,1069940000.00,71810600000.00,4370.81,0.8147,5364.931877
5/10/2017,4229.88,4362.64,4164.05,4328.41,1161770000.00,70233700000.00,4328.41,0.8218,5266.987101
4/10/2017,4319.37,4352.31,4210.42,4229.36,1116770000.00,71712500000.00,4229.36,0.8193,5162.162822
3/10/2017,4408.46,4432.47,4258.89,4317.48,1288020000.00,73181300000.00,4317.48,0.8184,5275.513196
2/10/2017,4395.81,4470.23,4377.46,4409.32,1431730000.00,72963200000.00,4409.32,0.8206,5373.287838
1/10/2017,4341.05,4403.74,4269.81,4403.74,1208210000.00,72047300000.00,4403.74,0.8206,5366.487936
30/09/2017,4166.11,4358.43,4160.86,4338.71,1207450000.00,69136600000.00,4338.71,0.8216,5280.805745
29/09/2017,4171.62,4214.63,4039.29,4163.07,1367050000.00,69219200000.00,4163.07,0.8216,5067.027751
28/09/2017,4197.13,4279.31,4109.70,4174.73,1712320000.00,69633200000.00,4174.73,0.8209,5085.552442
27/09/2017,3892.94,4210.05,3884.82,4200.67,1686880000.00,64579200000.00,4200.67,0.8247,5093.573421
26/09/2017,3928.41,3969.89,3869.90,3892.35,1043740000.00,65161000000.00,3892.35,0.8297,4691.273954
25/09/2017,3681.58,3950.25,3681.58,3926.07,1374210000.00,61061100000.00,3926.07,0.8313,4722.807651
24/09/2017,3796.15,3796.15,3666.90,3682.84,768015000.00,62954300000.00,3682.84,0.8302,4436.08769
23/09/2017,3629.92,3819.21,3594.58,3792.40,928114000.00,60190000000.00,3792.4,0.8302,4568.05589
22/09/2017,3628.02,3758.27,3553.53,3630.70,1194830000.00,60152300000.00,3630.7,0.8302,4373.283546
21/09/2017,3901.47,3916.42,3613.63,3631.04,1411480000.00,64677600000.00,3631.04,0.8388,4328.850739
20/09/2017,3916.36,4031.39,3857.73,3905.95,1213830000.00,64918500000.00,3905.95,0.8372,4665.492117
19/09/2017,4073.79,4094.07,3868.87,3924.97,1563980000.00,67520300000.00,3924.97,0.8337,4707.892527
18/09/2017,3591.09,4079.23,3591.09,4065.20,1943210000.00,59514100000.00,4065.2,0.8371,4856.289571
17/09/2017,3606.28,3664.81,3445.64,3582.88,1239150000.00,59757800000.00,3582.88,0.8371,4280.109903
16/09/2017,3637.75,3808.84,3487.79,3625.04,1818400000.00,60271600000.00,3625.04,0.8371,4330.474256
15/09/2017,3166.30,3733.45,2946.62,3637.52,4148070000.00,52453500000.00,3637.52,0.8371,4345.382869
14/09/2017,3875.37,3920.60,3153.86,3154.95,2716310000.00,64191600000.00,3154.95,0.8345,3780.647094
13/09/2017,4131.98,4131.98,3789.92,3882.59,2219410000.00,68432200000.00,3882.59,0.8379,4633.71524
12/09/2017,4168.88,4344.65,4085.22,4130.81,1864530000.00,69033400000.00,4130.81,0.8393,4921.732396
11/09/2017,4122.47,4261.67,4099.40,4161.27,1557330000.00,68256000000.00,4161.27,0.8413,4946.237965
10/09/2017,4229.34,4245.44,3951.04,4122.94,1679090000.00,70018100000.00,4122.94,0.8406,4904.758506
9/09/2017,4229.81,4308.82,4114.11,4226.06,1386230000.00,70017200000.00,4226.06,0.8406,5027.432786
8/09/2017,4605.16,4661.00,4075.18,4228.75,2700890000.00,76220200000.00,4228.75,0.8406,5030.632881
7/09/2017,4589.14,4655.04,4491.33,4599.88,1844620000.00,75945000000.00,4599.88,0.8359,5502.907046
6/09/2017,4376.59,4617.25,4376.59,4597.12,2172100000.00,72418700000.00,4597.12,0.8354,5502.896816
5/09/2017,4228.29,4427.84,3998.11,4376.53,2697970000.00,69954400000.00,4376.53,0.8308,5267.850265
4/09/2017,4591.63,4591.63,4108.40,4236.31,2987330000.00,75955500000.00,4236.31,0.8319,5092.330809
3/09/2017,4585.27,4714.08,4417.59,4582.96,1933190000.00,75841700000.00,4582.96,0.8305,5518.314269
2/09/2017,4901.42,4975.04,4469.24,4578.77,2722140000.00,81060600000.00,4578.77,0.8305,5513.269115
1/09/2017,4701.76,4892.01,4678.53,4892.01,2599080000.00,77748400000.00,4892.01,0.8305,5890.439494
31/08/2017,4555.59,4736.05,4549.40,4703.39,1944930000.00,75322300000.00,4703.39,0.8268,5688.66715
30/08/2017,4570.36,4626.52,4471.41,4565.30,1937850000.00,75556600000.00,4565.3,0.8311,5493.081458
29/08/2017,4389.21,4625.68,4352.13,4579.02,2486080000.00,72553800000.00,4579.02,0.8321,5502.968393
28/08/2017,4384.45,4403.93,4224.64,4382.66,1959330000.00,72467900000.00,4382.66,0.8296,5282.859209
27/08/2017,4345.10,4416.59,4317.29,4382.88,1537460000.00,71809200000.00,4382.88,0.8276,5295.891735
